Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,2314,8,53,71.95351408124236,2.397264000137511,648.8494719997107,263.08729472774417,3.8577428305375836,0.013337053865298473,53,62,70,79,130,160,220,290,560,650,650
POST,/user/login,2317,193,940.0,1423.4268900146837,26.17665500019939,17883.631116000288,247.76003452740613,3.8627442257370705,0.32175642450032566,940,1600,2000,2300,3200,4200,5100,5900,7000,18000,18000
POST,/user/register,2331,165,1200.0,2204.090949907324,2.835608000168577,28474.324787000114,264.22136422136424,3.886084070001343,0.275076735971781,1200,2100,2900,3400,5600,8600,10000,11000,25000,28000,28000
GET,/wishlist,2291,96,140.0,387.9023751257176,32.11995600031514,19187.912367000536,192.87036228721084,3.8193988006748505,0.16004464638358168,140,310,450,550,920,1300,2100,2600,16000,19000,19000
POST,/wishlist,2297,118,160.0,429.4529013752682,4.639085999770032,18059.358626000176,195.71484545058772,3.8294015910738244,0.1967215445131525,160,330,460,580,1000,1600,2500,2900,12000,18000,18000
DELETE,/wishlist/0019e059-87b8-4ce1-a41f-e6d614e83d5c,1,0,489.56736599939177,489.56736599939177,489.56736599939177,489.56736599939177,213.0,0.0016671317331623092,0.0,490,490,490,490,490,490,490,490,490,490,490
GET,/wishlist/0019e059-87b8-4ce1-a41f-e6d614e83d5c,1,0,37.76865000054386,37.76865000054386,37.76865000054386,37.76865000054386,150.0,0.0016671317331623092,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,/wishlist/0019e059-87b8-4ce1-a41f-e6d614e83d5c,1,0,94.19597499982046,94.19597499982046,94.19597499982046,94.19597499982046,113.0,0.0016671317331623092,0.0,94,94,94,94,94,94,94,94,94,94,94
DELETE,/wishlist/00568f30-9e6f-4d6b-b143-ccc73809c7c6,2,1,38,905.8324749998974,37.84607399938977,1773.818876000405,122.5,0.0033342634663246183,0.0016671317331623092,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/wishlist/00568f30-9e6f-4d6b-b143-ccc73809c7c6,2,1,134.86260199988465,149.07713599995986,134.86260199988465,163.29167000003508,90.5,0.0033342634663246183,0.0016671317331623092,160,160,160,160,160,160,160,160,160,160,160
PUT,/wishlist/00568f30-9e6f-4d6b-b143-ccc73809c7c6,2,0,301.40738200043415,434.53943550002805,301.40738200043415,567.6714889996219,56.5,0.0033342634663246183,0.0,570,570,570,570,570,570,570,570,570,570,570
DELETE,/wishlist/008c769a-5c83-48b0-b1cc-30c3b066a80e,1,0,116.67262199989636,116.67262199989636,116.67262199989636,116.67262199989636,213.0,0.0016671317331623092,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/008c769a-5c83-48b0-b1cc-30c3b066a80e,1,0,67.52176099962526,67.52176099962526,67.52176099962526,67.52176099962526,150.0,0.0016671317331623092,0.0,68,68,68,68,68,68,68,68,68,68,68
PUT,/wishlist/008c769a-5c83-48b0-b1cc-30c3b066a80e,1,0,106.0641209996902,106.0641209996902,106.0641209996902,106.0641209996902,113.0,0.0016671317331623092,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/wishlist/00b0d528-8937-435f-b841-30e0b1d0f6fb,1,0,1709.0173279993905,1709.0173279993905,1709.0173279993905,1709.0173279993905,213.0,0.0016671317331623092,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/wishlist/00b0d528-8937-435f-b841-30e0b1d0f6fb,1,0,2946.633484000813,2946.633484000813,2946.633484000813,2946.633484000813,150.0,0.0016671317331623092,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
PUT,/wishlist/00b0d528-8937-435f-b841-30e0b1d0f6fb,1,0,466.6850699995848,466.6850699995848,466.6850699995848,466.6850699995848,113.0,0.0016671317331623092,0.0,470,470,470,470,470,470,470,470,470,470,470
DELETE,/wishlist/00b72e6f-8ed0-4eb9-9ead-ea4ec96ed0e7,1,0,249.85643299987714,249.85643299987714,249.85643299987714,249.85643299987714,205.0,0.0016671317331623092,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/wishlist/00b72e6f-8ed0-4eb9-9ead-ea4ec96ed0e7,1,0,46.605730000010226,46.605730000010226,46.605730000010226,46.605730000010226,150.0,0.0016671317331623092,0.0,47,47,47,47,47,47,47,47,47,47,47
PUT,/wishlist/00b72e6f-8ed0-4eb9-9ead-ea4ec96ed0e7,1,1,450.3909869999916,450.3909869999916,450.3909869999916,450.3909869999916,27.0,0.0016671317331623092,0.0016671317331623092,450,450,450,450,450,450,450,450,450,450,450
DELETE,/wishlist/00caabfc-8452-469e-85cb-99cbd88b3e08,1,0,75.30471799964289,75.30471799964289,75.30471799964289,75.30471799964289,213.0,0.0016671317331623092,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/wishlist/00caabfc-8452-469e-85cb-99cbd88b3e08,1,0,301.27915299999586,301.27915299999586,301.27915299999586,301.27915299999586,150.0,0.0016671317331623092,0.0,300,300,300,300,300,300,300,300,300,300,300
PUT,/wishlist/00caabfc-8452-469e-85cb-99cbd88b3e08,1,0,250.45831599982193,250.45831599982193,250.45831599982193,250.45831599982193,113.0,0.0016671317331623092,0.0,250,250,250,250,250,250,250,250,250,250,250
DELETE,/wishlist/014ec5b7-cfde-4dc1-879b-c857d1f4c3c6,1,0,48.441232000186574,48.441232000186574,48.441232000186574,48.441232000186574,213.0,0.0016671317331623092,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/wishlist/014ec5b7-cfde-4dc1-879b-c857d1f4c3c6,1,0,101.33767000024818,101.33767000024818,101.33767000024818,101.33767000024818,150.0,0.0016671317331623092,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/wishlist/014ec5b7-cfde-4dc1-879b-c857d1f4c3c6,1,0,38.18803600006504,38.18803600006504,38.18803600006504,38.18803600006504,113.0,0.0016671317331623092,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/wishlist/015d07ba-9c7c-4432-8cf4-a8b8fe2c7471,1,0,50.864015000115614,50.864015000115614,50.864015000115614,50.864015000115614,213.0,0.0016671317331623092,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/wishlist/015d07ba-9c7c-4432-8cf4-a8b8fe2c7471,1,1,369.91881399990234,369.91881399990234,369.91881399990234,369.91881399990234,31.0,0.0016671317331623092,0.0016671317331623092,370,370,370,370,370,370,370,370,370,370,370
PUT,/wishlist/015d07ba-9c7c-4432-8cf4-a8b8fe2c7471,1,0,52.042350999727205,52.042350999727205,52.042350999727205,52.042350999727205,113.0,0.0016671317331623092,0.0,52,52,52,52,52,52,52,52,52,52,52
DELETE,/wishlist/016e503e-b60f-47d6-8e62-e9cd42a7b9b1,1,0,326.5811560004295,326.5811560004295,326.5811560004295,326.5811560004295,213.0,0.0016671317331623092,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/wishlist/016e503e-b60f-47d6-8e62-e9cd42a7b9b1,1,0,55.73478399946907,55.73478399946907,55.73478399946907,55.73478399946907,150.0,0.0016671317331623092,0.0,56,56,56,56,56,56,56,56,56,56,56
PUT,/wishlist/016e503e-b60f-47d6-8e62-e9cd42a7b9b1,1,0,115.01336600031209,115.01336600031209,115.01336600031209,115.01336600031209,113.0,0.0016671317331623092,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/01811dc7-3e7e-4fb4-8496-45c59da2a29d,1,0,94.37319700009539,94.37319700009539,94.37319700009539,94.37319700009539,150.0,0.0016671317331623092,0.0,94,94,94,94,94,94,94,94,94,94,94
PUT,/wishlist/01811dc7-3e7e-4fb4-8496-45c59da2a29d,1,0,40.20374499941681,40.20374499941681,40.20374499941681,40.20374499941681,113.0,0.0016671317331623092,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/wishlist/01822622-be3e-49b5-a101-2fb537b98484,1,0,257.2794259995135,257.2794259995135,257.2794259995135,257.2794259995135,213.0,0.0016671317331623092,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/wishlist/01822622-be3e-49b5-a101-2fb537b98484,1,0,44.77311699974962,44.77311699974962,44.77311699974962,44.77311699974962,150.0,0.0016671317331623092,0.0,45,45,45,45,45,45,45,45,45,45,45
PUT,/wishlist/01822622-be3e-49b5-a101-2fb537b98484,1,0,648.8060020001285,648.8060020001285,648.8060020001285,648.8060020001285,113.0,0.0016671317331623092,0.0,650,650,650,650,650,650,650,650,650,650,650
DELETE,/wishlist/0183b92a-c2bb-418d-8821-79390c5a52fa,1,0,36.10571300032461,36.10571300032461,36.10571300032461,36.10571300032461,213.0,0.0016671317331623092,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/wishlist/0183b92a-c2bb-418d-8821-79390c5a52fa,1,0,942.5730180000755,942.5730180000755,942.5730180000755,942.5730180000755,150.0,0.0016671317331623092,0.0,940,940,940,940,940,940,940,940,940,940,940
PUT,/wishlist/0183b92a-c2bb-418d-8821-79390c5a52fa,1,0,37.08737599936285,37.08737599936285,37.08737599936285,37.08737599936285,113.0,0.0016671317331623092,0.0,37,37,37,37,37,37,37,37,37,37,37
DELETE,/wishlist/018c6c8d-a776-4b8b-ab01-8c7b11af35d5,1,0,103.25713700058259,103.25713700058259,103.25713700058259,103.25713700058259,213.0,0.0016671317331623092,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/wishlist/018c6c8d-a776-4b8b-ab01-8c7b11af35d5,1,0,39.46756699951948,39.46756699951948,39.46756699951948,39.46756699951948,150.0,0.0016671317331623092,0.0,39,39,39,39,39,39,39,39,39,39,39
PUT,/wishlist/018c6c8d-a776-4b8b-ab01-8c7b11af35d5,1,0,40.50075199938874,40.50075199938874,40.50075199938874,40.50075199938874,113.0,0.0016671317331623092,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/wishlist/01aadde9-e511-444e-ab3a-03c30a80b73a,1,0,37.99642000012682,37.99642000012682,37.99642000012682,37.99642000012682,213.0,0.0016671317331623092,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/wishlist/01aadde9-e511-444e-ab3a-03c30a80b73a,1,0,40.97972199997457,40.97972199997457,40.97972199997457,40.97972199997457,150.0,0.0016671317331623092,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/wishlist/01aadde9-e511-444e-ab3a-03c30a80b73a,1,0,83.28631300082634,83.28631300082634,83.28631300082634,83.28631300082634,113.0,0.0016671317331623092,0.0,83,83,83,83,83,83,83,83,83,83,83
DELETE,/wishlist/01add558-e9ba-4ded-8dc1-4e1f410a3992,1,0,123.79610599964508,123.79610599964508,123.79610599964508,123.79610599964508,213.0,0.0016671317331623092,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/01add558-e9ba-4ded-8dc1-4e1f410a3992,1,0,746.3232079999216,746.3232079999216,746.3232079999216,746.3232079999216,150.0,0.0016671317331623092,0.0,750,750,750,750,750,750,750,750,750,750,750
PUT,/wishlist/01add558-e9ba-4ded-8dc1-4e1f410a3992,1,0,237.37976600023103,237.37976600023103,237.37976600023103,237.37976600023103,113.0,0.0016671317331623092,0.0,240,240,240,240,240,240,240,240,240,240,240
DELETE,/wishlist/020b9126-69ac-434e-807e-5a6d846d6437,1,0,389.4776709994403,389.4776709994403,389.4776709994403,389.4776709994403,213.0,0.0016671317331623092,0.0,390,390,390,390,390,390,390,390,390,390,390
GET,/wishlist/020b9126-69ac-434e-807e-5a6d846d6437,1,0,68.68559200029267,68.68559200029267,68.68559200029267,68.68559200029267,150.0,0.0016671317331623092,0.0,69,69,69,69,69,69,69,69,69,69,69
PUT,/wishlist/020b9126-69ac-434e-807e-5a6d846d6437,1,0,827.3133809998399,827.3133809998399,827.3133809998399,827.3133809998399,113.0,0.0016671317331623092,0.0,830,830,830,830,830,830,830,830,830,830,830
DELETE,/wishlist/022b397b-6a9a-4dcd-b6d0-484225d882e1,1,0,97.77754600054323,97.77754600054323,97.77754600054323,97.77754600054323,205.0,0.0016671317331623092,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/wishlist/022b397b-6a9a-4dcd-b6d0-484225d882e1,1,1,441.31289099914284,441.31289099914284,441.31289099914284,441.31289099914284,31.0,0.0016671317331623092,0.0016671317331623092,440,440,440,440,440,440,440,440,440,440,440
PUT,/wishlist/022b397b-6a9a-4dcd-b6d0-484225d882e1,1,1,439.04780100001517,439.04780100001517,439.04780100001517,439.04780100001517,27.0,0.0016671317331623092,0.0016671317331623092,440,440,440,440,440,440,440,440,440,440,440
DELETE,/wishlist/0246e579-7382-4872-9a0a-2b1cf546fb21,1,0,42.299571000512515,42.299571000512515,42.299571000512515,42.299571000512515,213.0,0.0016671317331623092,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/wishlist/0246e579-7382-4872-9a0a-2b1cf546fb21,1,0,40.913822000220534,40.913822000220534,40.913822000220534,40.913822000220534,150.0,0.0016671317331623092,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/wishlist/0246e579-7382-4872-9a0a-2b1cf546fb21,1,0,37.66352900038328,37.66352900038328,37.66352900038328,37.66352900038328,113.0,0.0016671317331623092,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/wishlist/024e5f0d-4c2b-47aa-85e6-90a0c15099ca,1,0,702.4113839997881,702.4113839997881,702.4113839997881,702.4113839997881,213.0,0.0016671317331623092,0.0,700,700,700,700,700,700,700,700,700,700,700
GET,/wishlist/024e5f0d-4c2b-47aa-85e6-90a0c15099ca,1,0,764.0647739999622,764.0647739999622,764.0647739999622,764.0647739999622,150.0,0.0016671317331623092,0.0,760,760,760,760,760,760,760,760,760,760,760
PUT,/wishlist/024e5f0d-4c2b-47aa-85e6-90a0c15099ca,1,0,327.7748190002967,327.7748190002967,327.7748190002967,327.7748190002967,113.0,0.0016671317331623092,0.0,330,330,330,330,330,330,330,330,330,330,330
