Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,1424,148,87,2046.5675915001007,3.348635000293143,20442.431149000186,236.56179775280899,2.3797294242893146,0.2473314289289456,87,300,400,780,11000,16000,18000,18000,20000,20000,20000
POST,/user/login,1438,360,400.0,1377.9051923797876,6.859716995677445,19803.848386000027,207.21001390820584,2.4031256405393497,0.6016169892866244,400,710,990,1200,1900,5300,16000,17000,19000,20000,20000
POST,/user/register,1450,334,710.0,2419.250988448894,2.912205003667623,21039.691724996374,221.98344827586206,2.4231795401822374,0.5581668733937015,710,1300,2000,2500,6400,15000,18000,18000,21000,21000,21000
GET,/wishlist,1344,226,76,1096.804064455417,7.7634030021727085,18400.572315003956,160.72842261904762,2.246036760003398,0.37768177660771424,76,120,230,350,1100,14000,16000,17000,18000,18000,18000
POST,/wishlist,1356,281,100.0,1795.279244757466,1.9285009984741919,26021.672124996257,165.42551622418878,2.2660906596462853,0.46959548330428186,100,320,560,830,6200,16000,17000,18000,21000,26000,26000
DELETE,/wishlist/0047d1a7-5183-49de-9236-cc8e092e648e,1,0,81.61731499421876,81.61731499421876,81.61731499421876,81.61731499421876,213.0,0.0016711583035739568,0.0,82,82,82,82,82,82,82,82,82,82,82
GET,/wishlist/0047d1a7-5183-49de-9236-cc8e092e648e,1,0,66.44483000127366,66.44483000127366,66.44483000127366,66.44483000127366,150.0,0.0016711583035739568,0.0,66,66,66,66,66,66,66,66,66,66,66
PUT,/wishlist/0047d1a7-5183-49de-9236-cc8e092e648e,1,0,60.209058996406384,60.209058996406384,60.209058996406384,60.209058996406384,113.0,0.0016711583035739568,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/wishlist/008f7228-acd7-4cc1-b781-acf48435a74c,1,0,97.79631999845151,97.79631999845151,97.79631999845151,97.79631999845151,213.0,0.0016711583035739568,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/wishlist/008f7228-acd7-4cc1-b781-acf48435a74c,1,0,87.23705200100085,87.23705200100085,87.23705200100085,87.23705200100085,150.0,0.0016711583035739568,0.0,87,87,87,87,87,87,87,87,87,87,87
PUT,/wishlist/008f7228-acd7-4cc1-b781-acf48435a74c,1,0,44.57376099890098,44.57376099890098,44.57376099890098,44.57376099890098,113.0,0.0016711583035739568,0.0,45,45,45,45,45,45,45,45,45,45,45
DELETE,/wishlist/00c712b2-ad27-47d7-8467-195ee892ef83,1,0,72.06813700031489,72.06813700031489,72.06813700031489,72.06813700031489,213.0,0.0016711583035739568,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/wishlist/00c712b2-ad27-47d7-8467-195ee892ef83,1,0,43.649826002365444,43.649826002365444,43.649826002365444,43.649826002365444,150.0,0.0016711583035739568,0.0,44,44,44,44,44,44,44,44,44,44,44
PUT,/wishlist/00c712b2-ad27-47d7-8467-195ee892ef83,1,0,40.84615299507277,40.84615299507277,40.84615299507277,40.84615299507277,113.0,0.0016711583035739568,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/wishlist/00de4ae2-796e-4387-a83c-31442af031c0,1,1,130.62178299878724,130.62178299878724,130.62178299878724,130.62178299878724,167.0,0.0016711583035739568,0.0016711583035739568,130,130,130,130,130,130,130,130,130,130,130
GET,/wishlist/00de4ae2-796e-4387-a83c-31442af031c0,1,1,210.14712099713506,210.14712099713506,210.14712099713506,210.14712099713506,27.0,0.0016711583035739568,0.0016711583035739568,210,210,210,210,210,210,210,210,210,210,210
PUT,/wishlist/00de4ae2-796e-4387-a83c-31442af031c0,1,0,77.2379150002962,77.2379150002962,77.2379150002962,77.2379150002962,113.0,0.0016711583035739568,0.0,77,77,77,77,77,77,77,77,77,77,77
DELETE,/wishlist/0142d854-ef92-45d4-8a42-928a4311b7bf,1,0,111.04930500005139,111.04930500005139,111.04930500005139,111.04930500005139,213.0,0.0016711583035739568,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/wishlist/0142d854-ef92-45d4-8a42-928a4311b7bf,1,0,220.21102500002598,220.21102500002598,220.21102500002598,220.21102500002598,150.0,0.0016711583035739568,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/wishlist/0142d854-ef92-45d4-8a42-928a4311b7bf,1,0,49.89706599735655,49.89706599735655,49.89706599735655,49.89706599735655,113.0,0.0016711583035739568,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/wishlist/023d20bc-63dc-4ab1-939f-25d659825f5b,2,1,54.12800799967954,74.85967200045707,54.12800799967954,95.5913360012346,122.5,0.0033423166071479137,0.0016711583035739568,96,96,96,96,96,96,96,96,96,96,96
GET,/wishlist/023d20bc-63dc-4ab1-939f-25d659825f5b,2,1,37.20572299789637,43.11870300080045,37.20572299789637,49.03168300370453,90.5,0.0033423166071479137,0.0016711583035739568,49,49,49,49,49,49,49,49,49,49,49
PUT,/wishlist/023d20bc-63dc-4ab1-939f-25d659825f5b,2,0,38.45921299944166,49.67620800016448,38.45921299944166,60.8932030008873,56.5,0.0033423166071479137,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/wishlist/02b928a2-2efc-4a2b-aad7-d5c179933512,1,1,51.53153099672636,51.53153099672636,51.53153099672636,51.53153099672636,27.0,0.0016711583035739568,0.0016711583035739568,52,52,52,52,52,52,52,52,52,52,52
GET,/wishlist/02b928a2-2efc-4a2b-aad7-d5c179933512,1,0,172.50511800375534,172.50511800375534,172.50511800375534,172.50511800375534,150.0,0.0016711583035739568,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/wishlist/02b928a2-2efc-4a2b-aad7-d5c179933512,1,0,48.63446800300153,48.63446800300153,48.63446800300153,48.63446800300153,113.0,0.0016711583035739568,0.0,49,49,49,49,49,49,49,49,49,49,49
DELETE,/wishlist/030127ed-94dd-4f49-b490-085a6d7544b4,1,0,129.3990520061925,129.3990520061925,129.3990520061925,129.3990520061925,213.0,0.0016711583035739568,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/wishlist/030127ed-94dd-4f49-b490-085a6d7544b4,1,0,91.45262200036086,91.45262200036086,91.45262200036086,91.45262200036086,150.0,0.0016711583035739568,0.0,91,91,91,91,91,91,91,91,91,91,91
PUT,/wishlist/030127ed-94dd-4f49-b490-085a6d7544b4,1,0,39.96405599900754,39.96405599900754,39.96405599900754,39.96405599900754,113.0,0.0016711583035739568,0.0,40,40,40,40,40,40,40,40,40,40,40
