Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,1945,16,50,103.39558191725324,5.744014997617342,1155.049669003347,261.82827763496147,3.690443468865983,0.030358403856995234,50,53,61,78,310,340,390,600,1100,1200,1200
POST,/user/login,1945,151,640.0,985.8597045670157,9.714319996419363,10399.145150004188,249.01491002570694,3.690443468865983,0.2865074364003925,640,1000,1300,1500,2200,2900,3700,4500,6800,10000,10000
POST,/user/register,1962,134,720.0,1252.4422261559073,4.967677996319253,9593.210448001628,264.1386340468909,3.7226992729640402,0.25425163230233505,720,1200,1600,1900,3200,4300,5800,6700,9600,9600,9600
GET,/wishlist,1906,65,63,281.28730566267495,7.409170997561887,12629.891782002233,195.75498426023086,3.6164448594645573,0.12333101566904313,64,120,250,320,770,1300,1900,3100,8700,13000,13000
POST,/wishlist,1926,70,71,288.34715628973026,6.351333999191411,6627.709333995881,198.29231568016615,3.6543928642858012,0.13281801687435416,71,160,310,390,780,1300,2000,2700,5900,6600,6600
DELETE,/wishlist/001e3e9b-e984-4bde-8910-8018bcf88cae,1,1,701.9384270024602,701.9384270024602,701.9384270024602,701.9384270024602,27.0,0.0018974002410622021,0.0018974002410622021,700,700,700,700,700,700,700,700,700,700,700
GET,/wishlist/001e3e9b-e984-4bde-8910-8018bcf88cae,1,0,35.03227200417314,35.03227200417314,35.03227200417314,35.03227200417314,150.0,0.0018974002410622021,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/001e3e9b-e984-4bde-8910-8018bcf88cae,1,0,32.80781299690716,32.80781299690716,32.80781299690716,32.80781299690716,113.0,0.0018974002410622021,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,/wishlist/001ff625-8d2f-493e-a50e-8576c2cb2de5,1,0,39.19262399722356,39.19262399722356,39.19262399722356,39.19262399722356,213.0,0.0018974002410622021,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/wishlist/001ff625-8d2f-493e-a50e-8576c2cb2de5,1,0,31.31803799624322,31.31803799624322,31.31803799624322,31.31803799624322,150.0,0.0018974002410622021,0.0,31,31,31,31,31,31,31,31,31,31,31
