Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/wishlist/wishlist/647c88e2-09d1-4372-9fb6-a271ddbdf504,1,0,122.21581200356013,122.21581200356013,122.21581200356013,122.21581200356013,213.0,0.0016689366266841976,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/wishlist/647c88e2-09d1-4372-9fb6-a271ddbdf504,1,0,934.0962009991927,934.0962009991927,934.0962009991927,934.0962009991927,150.0,0.0016689366266841976,0.0,930,930,930,930,930,930,930,930,930,930,930
PUT,/wishlist/wishlist/647c88e2-09d1-4372-9fb6-a271ddbdf504,1,0,263.3805139994365,263.3805139994365,263.3805139994365,263.3805139994365,113.0,0.0016689366266841976,0.0,260,260,260,260,260,260,260,260,260,260,260
DELETE,/wishlist/wishlist/647ce622-b156-49e9-b7f5-25ac63d3088b,1,0,230.5897719998029,230.5897719998029,230.5897719998029,230.5897719998029,213.0,0.0016689366266841976,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/wishlist/wishlist/647ce622-b156-49e9-b7f5-25ac63d3088b,1,0,1395.2194239973323,1395.2194239973323,1395.2194239973323,1395.2194239973323,150.0,0.0016689366266841976,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
PUT,/wishlist/wishlist/647ce622-b156-49e9-b7f5-25ac63d3088b,1,0,453.3711479998601,453.3711479998601,453.3711479998601,453.3711479998601,113.0,0.0016689366266841976,0.0,450,450,450,450,450,450,450,450,450,450,450
DELETE,/wishlist/wishlist/6482456a-ea02-469e-8f29-a2ce8a458753,1,0,1030.6996910003363,1030.6996910003363,1030.6996910003363,1030.6996910003363,213.0,0.0016689366266841976,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/wishlist/wishlist/6482456a-ea02-469e-8f29-a2ce8a458753,1,0,219.22783499758225,219.22783499758225,219.22783499758225,219.22783499758225,150.0,0.0016689366266841976,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/wishlist/wishlist/6482456a-ea02-469e-8f29-a2ce8a458753,1,0,227.76919999887468,227.76919999887468,227.76919999887468,227.76919999887468,113.0,0.0016689366266841976,0.0,230,230,230,230,230,230,230,230,230,230,230
DELETE,/wishlist/wishlist/64842538-3683-4c77-88a6-57b278e18aba,1,0,211.1628090024169,211.1628090024169,211.1628090024169,211.1628090024169,213.0,0.0016689366266841976,0.0,210,210,210,210,210,210,210,210,210,210,210
