Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2870,403,2400.0,3639.2575811560905,25.61466999759432,26899.946698002168,237.24006968641115,4.784098956107172,0.6717741739760245,2400,4100,5200,6100,9000,11000,14000,15000,21000,27000,27000
POST,/auth/user/register,2918,233,4500.0,6966.724228391662,10.323839000193402,60022.240167003474,265.04694996572994,4.8641117609479885,0.3883954901647983,4500,8500,11000,12000,17000,22000,26000,29000,43000,60000,60000
GET,/products/product,2870,0,25,29.08057770143707,19.907809000869747,482.3695619998034,264.0,4.784098956107172,0.0,25,26,28,29,36,47,72,100,260,480,480
GET,/wishlist/wishlist,2745,226,470.0,1626.2466790692254,30.61949699622346,31574.974667004426,182.93187613843352,4.575732276834212,0.3767269561255125,470,1100,1900,2400,4500,7300,11000,13000,25000,32000,32000
POST,/wishlist/wishlist,2776,246,520.0,1713.2454302146932,28.07254200160969,50972.43215700291,189.22622478386168,4.627407213293906,0.4100656248091862,520,1100,1800,2400,4800,8300,12000,13000,30000,51000,51000
DELETE,/wishlist/wishlist/0004b505-50f5-4ae6-b67b-3d19303f9fba,1,1,1529.7942149991286,1529.7942149991286,1529.7942149991286,1529.7942149991286,167.0,0.0016669334341836836,0.0016669334341836836,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/wishlist/wishlist/0004b505-50f5-4ae6-b67b-3d19303f9fba,1,0,1351.4522679979564,1351.4522679979564,1351.4522679979564,1351.4522679979564,150.0,0.0016669334341836836,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
PUT,/wishlist/wishlist/0004b505-50f5-4ae6-b67b-3d19303f9fba,1,0,1484.3377860015607,1484.3377860015607,1484.3377860015607,1484.3377860015607,113.0,0.0016669334341836836,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
DELETE,/wishlist/wishlist/000c5e95-ff7e-45bf-8dc3-f8315375661c,1,0,34.792683996784035,34.792683996784035,34.792683996784035,34.792683996784035,205.0,0.0016669334341836836,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/wishlist/000c5e95-ff7e-45bf-8dc3-f8315375661c,1,0,354.49903400149196,354.49903400149196,354.49903400149196,354.49903400149196,150.0,0.0016669334341836836,0.0,350,350,350,350,350,350,350,350,350,350,350
PUT,/wishlist/wishlist/000c5e95-ff7e-45bf-8dc3-f8315375661c,1,1,993.8872559941956,993.8872559941956,993.8872559941956,993.8872559941956,27.0,0.0016669334341836836,0.0016669334341836836,990,990,990,990,990,990,990,990,990,990,990
DELETE,/wishlist/wishlist/0012cc75-8ee9-48df-9dc1-2aab1274f16e,1,1,312.47438099671854,312.47438099671854,312.47438099671854,312.47438099671854,167.0,0.0016669334341836836,0.0016669334341836836,310,310,310,310,310,310,310,310,310,310,310
GET,/wishlist/wishlist/0012cc75-8ee9-48df-9dc1-2aab1274f16e,1,1,1947.9267049973714,1947.9267049973714,1947.9267049973714,1947.9267049973714,27.0,0.0016669334341836836,0.0016669334341836836,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
PUT,/wishlist/wishlist/0012cc75-8ee9-48df-9dc1-2aab1274f16e,1,0,4847.432216003654,4847.432216003654,4847.432216003654,4847.432216003654,113.0,0.0016669334341836836,0.0,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
DELETE,/wishlist/wishlist/0026a164-8d7b-4b57-b717-2d2753a7435f,1,1,2687.5758539972594,2687.5758539972594,2687.5758539972594,2687.5758539972594,167.0,0.0016669334341836836,0.0016669334341836836,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/wishlist/wishlist/0026a164-8d7b-4b57-b717-2d2753a7435f,1,0,2475.7491440032027,2475.7491440032027,2475.7491440032027,2475.7491440032027,150.0,0.0016669334341836836,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
