Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2736,818,550.0,892.697738541663,27.416796001489274,4510.766908000733,202.26754385964912,4.566146890284909,1.3651711097416137,550,1000,1400,1600,2100,2500,2900,3200,4300,4500,4500
POST,/auth/user/register,2745,516,1100.0,1505.877904129708,65.04041999869514,10683.653328000219,241.57704918032786,4.581167110318741,0.8611592819396977,1100,1700,2200,2500,3400,4200,5100,5800,7600,11000,11000
GET,/products/product,2736,0,31,37.79149942545046,26.177041001574253,377.9318520009838,264.0,4.566146890284909,0.0,31,32,35,37,48,68,120,160,310,380,380
GET,/wishlist/wishlist,2663,705,130.0,364.59391462262096,33.09073599848489,4988.306187999115,147.84228313931655,4.44431621667716,1.1765839026501683,130,290,430,580,1000,1500,2000,2500,4600,5000,5000
POST,/wishlist/wishlist,2676,709,160.0,391.3907987690576,33.59578399977181,5807.138009000482,157.839312406577,4.466012090059363,1.1832595559985382,160,300,480,620,1100,1500,2000,2500,4500,5800,5800
DELETE,/wishlist/wishlist/0001e662-2f30-4513-8597-21d258eb7001,2,1,87.39002100082871,183.84251950010366,87.39002100082871,280.2950179993786,120.0,0.003337826674184875,0.0016689133370924375,280,280,280,280,280,280,280,280,280,280,280
GET,/wishlist/wishlist/0001e662-2f30-4513-8597-21d258eb7001,2,1,99.29720999934943,311.15114399926824,99.29720999934943,523.005077999187,90.5,0.003337826674184875,0.0016689133370924375,520,520,520,520,520,520,520,520,520,520,520
PUT,/wishlist/wishlist/0001e662-2f30-4513-8597-21d258eb7001,2,0,280.0,421.4334009993763,275.5195680001634,567.3472339985892,56.5,0.003337826674184875,0.0,570,570,570,570,570,570,570,570,570,570,570
DELETE,/wishlist/wishlist/006e2429-b2b1-4c37-842e-2325b7d7eecb,1,0,37.22893099984503,37.22893099984503,37.22893099984503,37.22893099984503,213.0,0.0016689133370924375,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/wishlist/wishlist/006e2429-b2b1-4c37-842e-2325b7d7eecb,1,0,42.12431099949754,42.12431099949754,42.12431099949754,42.12431099949754,150.0,0.0016689133370924375,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/wishlist/wishlist/006e2429-b2b1-4c37-842e-2325b7d7eecb,1,0,41.43117199964763,41.43117199964763,41.43117199964763,41.43117199964763,113.0,0.0016689133370924375,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/wishlist/wishlist/00ee4a10-4990-46d2-a9df-621118f38927,1,0,927.9831300009391,927.9831300009391,927.9831300009391,927.9831300009391,205.0,0.0016689133370924375,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/wishlist/wishlist/00ee4a10-4990-46d2-a9df-621118f38927,1,1,723.9396830009355,723.9396830009355,723.9396830009355,723.9396830009355,27.0,0.0016689133370924375,0.0016689133370924375,720,720,720,720,720,720,720,720,720,720,720
PUT,/wishlist/wishlist/00ee4a10-4990-46d2-a9df-621118f38927,1,1,1206.091029000163,1206.091029000163,1206.091029000163,1206.091029000163,27.0,0.0016689133370924375,0.0016689133370924375,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
DELETE,/wishlist/wishlist/00f1f9ab-dcd1-48a5-9b3e-59643b119bd2,2,1,113.50929000036558,815.0037085006261,113.50929000036558,1516.4981270008866,122.5,0.003337826674184875,0.0016689133370924375,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/wishlist/wishlist/00f1f9ab-dcd1-48a5-9b3e-59643b119bd2,2,2,91,239.87006000061228,90.72722300152236,389.0128969997022,31.0,0.003337826674184875,0.003337826674184875,390,390,390,390,390,390,390,390,390,390,390
PUT,/wishlist/wishlist/00f1f9ab-dcd1-48a5-9b3e-59643b119bd2,2,0,200.0,248.47140200017748,195.91658399986045,301.0262200004945,56.5,0.003337826674184875,0.0,300,300,300,300,300,300,300,300,300,300,300
DELETE,/wishlist/wishlist/01008eca-4e6a-4866-a4df-d82d9aef9c61,2,2,193.32611900063057,411.7292830005681,193.32611900063057,630.1324470005056,27.0,0.003337826674184875,0.003337826674184875,630,630,630,630,630,630,630,630,630,630,630
GET,/wishlist/wishlist/01008eca-4e6a-4866-a4df-d82d9aef9c61,2,2,68,106.34191850112984,67.6729510014411,145.01088600081857,31.0,0.003337826674184875,0.003337826674184875,150,150,150,150,150,150,150,150,150,150,150
PUT,/wishlist/wishlist/01008eca-4e6a-4866-a4df-d82d9aef9c61,2,0,110.0,234.00732950085512,105.3892870004347,362.62537200127554,113.0,0.003337826674184875,0.0,360,360,360,360,360,360,360,360,360,360,360
DELETE,/wishlist/wishlist/010ec745-8159-48df-8d5c-161b1648e6be,1,0,59.1657920012949,59.1657920012949,59.1657920012949,59.1657920012949,213.0,0.0016689133370924375,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/wishlist/wishlist/010ec745-8159-48df-8d5c-161b1648e6be,1,0,36.764189000678016,36.764189000678016,36.764189000678016,36.764189000678016,150.0,0.0016689133370924375,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/wishlist/wishlist/010ec745-8159-48df-8d5c-161b1648e6be,1,0,108.27161899942439,108.27161899942439,108.27161899942439,108.27161899942439,113.0,0.0016689133370924375,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/wishlist/wishlist/01187646-7987-4eea-812e-69add9baccbb,1,1,146.06117300172627,146.06117300172627,146.06117300172627,146.06117300172627,27.0,0.0016689133370924375,0.0016689133370924375,150,150,150,150,150,150,150,150,150,150,150
GET,/wishlist/wishlist/01187646-7987-4eea-812e-69add9baccbb,1,1,298.41819899957045,298.41819899957045,298.41819899957045,298.41819899957045,31.0,0.0016689133370924375,0.0016689133370924375,300,300,300,300,300,300,300,300,300,300,300
PUT,/wishlist/wishlist/01187646-7987-4eea-812e-69add9baccbb,1,0,55.938153998795315,55.938153998795315,55.938153998795315,55.938153998795315,113.0,0.0016689133370924375,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/wishlist/wishlist/0161645f-d7b3-4ef6-a492-3ec97dda4fe5,1,0,95.71202000006451,95.71202000006451,95.71202000006451,95.71202000006451,213.0,0.0016689133370924375,0.0,96,96,96,96,96,96,96,96,96,96,96
GET,/wishlist/wishlist/0161645f-d7b3-4ef6-a492-3ec97dda4fe5,1,0,39.85936299977766,39.85936299977766,39.85936299977766,39.85936299977766,150.0,0.0016689133370924375,0.0,40,40,40,40,40,40,40,40,40,40,40
PUT,/wishlist/wishlist/0161645f-d7b3-4ef6-a492-3ec97dda4fe5,1,0,81.60284600126033,81.60284600126033,81.60284600126033,81.60284600126033,113.0,0.0016689133370924375,0.0,82,82,82,82,82,82,82,82,82,82,82
DELETE,/wishlist/wishlist/01695a8d-9609-4ebb-a977-6f29113448e7,1,0,857.8728430002229,857.8728430002229,857.8728430002229,857.8728430002229,205.0,0.0016689133370924375,0.0,860,860,860,860,860,860,860,860,860,860,860
GET,/wishlist/wishlist/01695a8d-9609-4ebb-a977-6f29113448e7,1,1,1189.8391480008286,1189.8391480008286,1189.8391480008286,1189.8391480008286,27.0,0.0016689133370924375,0.0016689133370924375,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
PUT,/wishlist/wishlist/01695a8d-9609-4ebb-a977-6f29113448e7,1,1,168.24819700013904,168.24819700013904,168.24819700013904,168.24819700013904,27.0,0.0016689133370924375,0.0016689133370924375,170,170,170,170,170,170,170,170,170,170,170
DELETE,/wishlist/wishlist/01789feb-81b4-46ae-a437-b1dffee31936,1,0,193.74100800087035,193.74100800087035,193.74100800087035,193.74100800087035,213.0,0.0016689133370924375,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/wishlist/wishlist/01789feb-81b4-46ae-a437-b1dffee31936,1,0,221.61535099985485,221.61535099985485,221.61535099985485,221.61535099985485,150.0,0.0016689133370924375,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/wishlist/wishlist/01789feb-81b4-46ae-a437-b1dffee31936,1,0,430.2443980013777,430.2443980013777,430.2443980013777,430.2443980013777,113.0,0.0016689133370924375,0.0,430,430,430,430,430,430,430,430,430,430,430
DELETE,/wishlist/wishlist/0180d9d1-fb4a-425a-89ad-590a8264863c,2,2,480.0,777.6002425007391,476.979877001213,1078.2206080002652,27.0,0.003337826674184875,0.003337826674184875,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/wishlist/wishlist/0180d9d1-fb4a-425a-89ad-590a8264863c,2,2,36.24788900015119,228.53583250071097,36.24788900015119,420.82377600127074,27.0,0.003337826674184875,0.003337826674184875,420,420,420,420,420,420,420,420,420,420,420
PUT,/wishlist/wishlist/0180d9d1-fb4a-425a-89ad-590a8264863c,2,1,162.2369879987673,344.82502799983195,162.2369879987673,527.4130680008966,70.0,0.003337826674184875,0.0016689133370924375,530,530,530,530,530,530,530,530,530,530,530
DELETE,/wishlist/wishlist/01a649ac-219d-4980-951c-6e9599e49fd3,2,2,201.7433399996662,301.4050110004973,201.7433399996662,401.06668200132845,97.0,0.003337826674184875,0.003337826674184875,400,400,400,400,400,400,400,400,400,400,400
GET,/wishlist/wishlist/01a649ac-219d-4980-951c-6e9599e49fd3,2,1,38,656.9966100005331,37.97228800067387,1276.0209320003923,88.5,0.003337826674184875,0.0016689133370924375,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/wishlist/wishlist/01a649ac-219d-4980-951c-6e9599e49fd3,2,2,583.447745999365,1283.1942769998932,583.447745999365,1982.9408080004214,27.0,0.003337826674184875,0.003337826674184875,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
DELETE,/wishlist/wishlist/01ef8b0b-7353-4939-a33f-e40dea106c95,1,1,1453.4459639999113,1453.4459639999113,1453.4459639999113,1453.4459639999113,27.0,0.0016689133370924375,0.0016689133370924375,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/wishlist/wishlist/01ef8b0b-7353-4939-a33f-e40dea106c95,1,1,87.26054899852898,87.26054899852898,87.26054899852898,87.26054899852898,31.0,0.0016689133370924375,0.0016689133370924375,87,87,87,87,87,87,87,87,87,87,87
PUT,/wishlist/wishlist/01ef8b0b-7353-4939-a33f-e40dea106c95,1,0,134.8169480006618,134.8169480006618,134.8169480006618,134.8169480006618,113.0,0.0016689133370924375,0.0,130,130,130,130,130,130,130,130,130,130,130
