Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2528,381,800.0,1187.3406958405812,27.718278999600443,6066.137064999566,234.220332278481,4.217063219959099,0.63556213876757,800,1400,1800,2100,2700,3200,3700,4100,6000,6100,6100
POST,/auth/user/register,2546,231,1100.0,1630.927430639057,62.637352999445284,11241.031686999122,262.5015710919089,4.24708977769615,0.3853408242921487,1100,1800,2500,2900,3800,4600,5600,6100,8800,11000,11000
GET,/products/product,2528,0,30,33.2140032693806,25.722791000589496,522.5527059992601,264.0,4.217063219959099,0.0,30,31,32,32,38,46,62,94,370,520,520
GET,/wishlist/wishlist,2486,352,120.0,414.03596522040704,32.554970999626676,9621.717177000392,173.00522928399036,4.147001251905982,0.5871860179689885,120,290,490,640,1100,1600,2500,3800,7100,9600,9600
POST,/wishlist/wishlist,2495,292,150.0,403.8678861122496,32.973357998344,9279.104214001563,184.16793587174348,4.162014530774507,0.48709749217882004,150,280,460,590,1100,1500,2200,3200,7800,9300,9300
DELETE,/wishlist/wishlist/002479a2-74e2-4706-ad90-f55b759179bf,1,1,154.80956999999762,154.80956999999762,154.80956999999762,154.80956999999762,27.0,0.0016681420965028084,0.0016681420965028084,150,150,150,150,150,150,150,150,150,150,150
GET,/wishlist/wishlist/002479a2-74e2-4706-ad90-f55b759179bf,1,0,35.4320149999694,35.4320149999694,35.4320149999694,35.4320149999694,150.0,0.0016681420965028084,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/wishlist/002479a2-74e2-4706-ad90-f55b759179bf,1,0,332.14781599963317,332.14781599963317,332.14781599963317,332.14781599963317,113.0,0.0016681420965028084,0.0,330,330,330,330,330,330,330,330,330,330,330
DELETE,/wishlist/wishlist/0045d2ea-30a2-40af-bfaa-cd3688f27ef2,1,1,797.9287440011831,797.9287440011831,797.9287440011831,797.9287440011831,27.0,0.0016681420965028084,0.0016681420965028084,800,800,800,800,800,800,800,800,800,800,800
GET,/wishlist/wishlist/0045d2ea-30a2-40af-bfaa-cd3688f27ef2,1,0,423.02004099838086,423.02004099838086,423.02004099838086,423.02004099838086,150.0,0.0016681420965028084,0.0,420,420,420,420,420,420,420,420,420,420,420
PUT,/wishlist/wishlist/0045d2ea-30a2-40af-bfaa-cd3688f27ef2,1,0,61.53350599925034,61.53350599925034,61.53350599925034,61.53350599925034,113.0,0.0016681420965028084,0.0,62,62,62,62,62,62,62,62,62,62,62
DELETE,/wishlist/wishlist/00460e7e-b7b0-46da-a2bd-c919a1a5f43a,1,0,64.60396800139279,64.60396800139279,64.60396800139279,64.60396800139279,213.0,0.0016681420965028084,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/wishlist/wishlist/00460e7e-b7b0-46da-a2bd-c919a1a5f43a,1,0,89.27535800103215,89.27535800103215,89.27535800103215,89.27535800103215,150.0,0.0016681420965028084,0.0,89,89,89,89,89,89,89,89,89,89,89
PUT,/wishlist/wishlist/00460e7e-b7b0-46da-a2bd-c919a1a5f43a,1,0,79.1618950006523,79.1618950006523,79.1618950006523,79.1618950006523,113.0,0.0016681420965028084,0.0,79,79,79,79,79,79,79,79,79,79,79
DELETE,/wishlist/wishlist/004b5708-210d-4750-8292-e71d3ac9629c,1,0,205.16716800011636,205.16716800011636,205.16716800011636,205.16716800011636,213.0,0.0016681420965028084,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/wishlist/wishlist/004b5708-210d-4750-8292-e71d3ac9629c,1,0,37.27660799995647,37.27660799995647,37.27660799995647,37.27660799995647,150.0,0.0016681420965028084,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/wishlist/wishlist/004b5708-210d-4750-8292-e71d3ac9629c,1,0,79.88689999911003,79.88689999911003,79.88689999911003,79.88689999911003,113.0,0.0016681420965028084,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/wishlist/wishlist/00938eb3-3826-4f7e-85ed-c4068d8dd9b0,1,0,105.13153800093278,105.13153800093278,105.13153800093278,105.13153800093278,213.0,0.0016681420965028084,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/wishlist/wishlist/00938eb3-3826-4f7e-85ed-c4068d8dd9b0,1,0,396.53872000053525,396.53872000053525,396.53872000053525,396.53872000053525,150.0,0.0016681420965028084,0.0,400,400,400,400,400,400,400,400,400,400,400
PUT,/wishlist/wishlist/00938eb3-3826-4f7e-85ed-c4068d8dd9b0,1,0,197.62154599993664,197.62154599993664,197.62154599993664,197.62154599993664,113.0,0.0016681420965028084,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/wishlist/wishlist/00bcb6cb-17c7-47a8-b4d4-14989ab72b2e,1,0,37.58039300009841,37.58039300009841,37.58039300009841,37.58039300009841,213.0,0.0016681420965028084,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/wishlist/wishlist/00bcb6cb-17c7-47a8-b4d4-14989ab72b2e,1,0,41.61569699863321,41.61569699863321,41.61569699863321,41.61569699863321,150.0,0.0016681420965028084,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/wishlist/wishlist/00bcb6cb-17c7-47a8-b4d4-14989ab72b2e,1,0,55.68118300107017,55.68118300107017,55.68118300107017,55.68118300107017,113.0,0.0016681420965028084,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/wishlist/wishlist/00c9af58-d7f0-474d-a1a3-95d4151c2327,1,0,35.373269000047,35.373269000047,35.373269000047,35.373269000047,205.0,0.0016681420965028084,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/wishlist/00c9af58-d7f0-474d-a1a3-95d4151c2327,1,0,305.56676400010474,305.56676400010474,305.56676400010474,305.56676400010474,150.0,0.0016681420965028084,0.0,310,310,310,310,310,310,310,310,310,310,310
PUT,/wishlist/wishlist/00c9af58-d7f0-474d-a1a3-95d4151c2327,1,1,176.5238699990732,176.5238699990732,176.5238699990732,176.5238699990732,27.0,0.0016681420965028084,0.0016681420965028084,180,180,180,180,180,180,180,180,180,180,180
DELETE,/wishlist/wishlist/00cd20d3-d1e8-4352-977b-da84156f8737,1,0,36.654509998697904,36.654509998697904,36.654509998697904,36.654509998697904,213.0,0.0016681420965028084,0.0,37,37,37,37,37,37,37,37,37,37,37
GET,/wishlist/wishlist/00cd20d3-d1e8-4352-977b-da84156f8737,1,0,157.37068099952012,157.37068099952012,157.37068099952012,157.37068099952012,150.0,0.0016681420965028084,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/wishlist/wishlist/00cd20d3-d1e8-4352-977b-da84156f8737,1,0,101.94036800021422,101.94036800021422,101.94036800021422,101.94036800021422,113.0,0.0016681420965028084,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/wishlist/wishlist/00e7ea7a-91c9-4c80-9e8c-48e5bf83aca8,1,0,36.32849899986468,36.32849899986468,36.32849899986468,36.32849899986468,150.0,0.0016681420965028084,0.0,36,36,36,36,36,36,36,36,36,36,36
DELETE,/wishlist/wishlist/010e67bf-c78a-4af4-b093-d05453912275,1,0,39.31967700009409,39.31967700009409,39.31967700009409,39.31967700009409,213.0,0.0016681420965028084,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/wishlist/wishlist/010e67bf-c78a-4af4-b093-d05453912275,1,0,323.36161000057473,323.36161000057473,323.36161000057473,323.36161000057473,150.0,0.0016681420965028084,0.0,320,320,320,320,320,320,320,320,320,320,320
PUT,/wishlist/wishlist/010e67bf-c78a-4af4-b093-d05453912275,1,0,202.13343199975498,202.13343199975498,202.13343199975498,202.13343199975498,113.0,0.0016681420965028084,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/wishlist/wishlist/012c9ad6-dae3-4db6-9984-3df3d79b5751,1,0,39.9089799993817,39.9089799993817,39.9089799993817,39.9089799993817,213.0,0.0016681420965028084,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/wishlist/wishlist/012c9ad6-dae3-4db6-9984-3df3d79b5751,1,0,783.8997329999984,783.8997329999984,783.8997329999984,783.8997329999984,150.0,0.0016681420965028084,0.0,780,780,780,780,780,780,780,780,780,780,780
PUT,/wishlist/wishlist/012c9ad6-dae3-4db6-9984-3df3d79b5751,1,0,197.20493400018313,197.20493400018313,197.20493400018313,197.20493400018313,113.0,0.0016681420965028084,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/wishlist/wishlist/014e0d6e-c9b8-4377-8b5a-48ee64fc9f8e,1,1,2201.901500000531,2201.901500000531,2201.901500000531,2201.901500000531,27.0,0.0016681420965028084,0.0016681420965028084,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/wishlist/wishlist/014e0d6e-c9b8-4377-8b5a-48ee64fc9f8e,1,0,1105.3162050011451,1105.3162050011451,1105.3162050011451,1105.3162050011451,150.0,0.0016681420965028084,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
PUT,/wishlist/wishlist/014e0d6e-c9b8-4377-8b5a-48ee64fc9f8e,1,0,63.768432000870234,63.768432000870234,63.768432000870234,63.768432000870234,113.0,0.0016681420965028084,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/wishlist/wishlist/0154a41a-0d74-490e-ae3e-5ce87f9c1387,1,0,100.48434900090797,100.48434900090797,100.48434900090797,100.48434900090797,213.0,0.0016681420965028084,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/wishlist/wishlist/0154a41a-0d74-490e-ae3e-5ce87f9c1387,1,1,63.908026000717655,63.908026000717655,63.908026000717655,63.908026000717655,31.0,0.0016681420965028084,0.0016681420965028084,64,64,64,64,64,64,64,64,64,64,64
PUT,/wishlist/wishlist/0154a41a-0d74-490e-ae3e-5ce87f9c1387,1,0,101.47589199914364,101.47589199914364,101.47589199914364,101.47589199914364,113.0,0.0016681420965028084,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/wishlist/wishlist/01966961-5b08-4674-8301-81cf062cc805,1,1,1821.1205500010692,1821.1205500010692,1821.1205500010692,1821.1205500010692,27.0,0.0016681420965028084,0.0016681420965028084,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/wishlist/wishlist/01966961-5b08-4674-8301-81cf062cc805,1,0,835.7048579982802,835.7048579982802,835.7048579982802,835.7048579982802,150.0,0.0016681420965028084,0.0,840,840,840,840,840,840,840,840,840,840,840
PUT,/wishlist/wishlist/01966961-5b08-4674-8301-81cf062cc805,1,0,686.4851460013597,686.4851460013597,686.4851460013597,686.4851460013597,113.0,0.0016681420965028084,0.0,690,690,690,690,690,690,690,690,690,690,690
DELETE,/wishlist/wishlist/01cbfaac-6cdf-4265-bc15-e28d266b4d0a,1,1,842.4734390009689,842.4734390009689,842.4734390009689,842.4734390009689,27.0,0.0016681420965028084,0.0016681420965028084,840,840,840,840,840,840,840,840,840,840,840
GET,/wishlist/wishlist/01cbfaac-6cdf-4265-bc15-e28d266b4d0a,1,0,88.65869399960502,88.65869399960502,88.65869399960502,88.65869399960502,150.0,0.0016681420965028084,0.0,89,89,89,89,89,89,89,89,89,89,89
PUT,/wishlist/wishlist/01cbfaac-6cdf-4265-bc15-e28d266b4d0a,1,0,135.24849100031133,135.24849100031133,135.24849100031133,135.24849100031133,113.0,0.0016681420965028084,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/wishlist/wishlist/01e97446-ce81-4c20-aca0-384340548c82,2,1,37.14769399994111,509.6170160004476,37.14769399994111,982.0863380009541,122.5,0.003336284193005617,0.0016681420965028084,980,980,980,980,980,980,980,980,980,980,980
GET,/wishlist/wishlist/01e97446-ce81-4c20-aca0-384340548c82,2,1,63.09822399998666,79.48682050027855,63.09822399998666,95.87541700057045,90.5,0.003336284193005617,0.0016681420965028084,96,96,96,96,96,96,96,96,96,96,96
PUT,/wishlist/wishlist/01e97446-ce81-4c20-aca0-384340548c82,2,0,230.0,312.8518704997987,229.90092500003811,395.80281599955924,56.5,0.003336284193005617,0.0,400,400,400,400,400,400,400,400,400,400,400
