Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/wishlist/ec4822bf-f3d3-456b-8a9b-6dc88c2d5714,1,0,34.20945900143124,34.20945900143124,34.20945900143124,34.20945900143124,213.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/wishlist/ec4822bf-f3d3-456b-8a9b-6dc88c2d5714,1,0,35.11718599474989,35.11718599474989,35.11718599474989,35.11718599474989,150.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/ec4822bf-f3d3-456b-8a9b-6dc88c2d5714,1,0,33.905332995345816,33.905332995345816,33.905332995345816,33.905332995345816,113.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/wishlist/ec6bbc8f-a457-407b-a305-9d23c492f198,1,0,36.07499200006714,36.07499200006714,36.07499200006714,36.07499200006714,213.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/wishlist/ec6bbc8f-a457-407b-a305-9d23c492f198,1,0,34.81298500264529,34.81298500264529,34.81298500264529,34.81298500264529,150.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/ec6bbc8f-a457-407b-a305-9d23c492f198,1,0,91.45554999849992,91.45554999849992,91.45554999849992,91.45554999849992,113.0,0.0017447199799003857,0.0,91,91,91,91,91,91,91,91,91,91,91
DELETE,/wishlist/ec765d49-581f-487a-8241-fc85752cc974,1,0,94.50862799712922,94.50862799712922,94.50862799712922,94.50862799712922,213.0,0.0017447199799003857,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/wishlist/ec765d49-581f-487a-8241-fc85752cc974,1,0,617.3814759968081,617.3814759968081,617.3814759968081,617.3814759968081,150.0,0.0017447199799003857,0.0,620,620,620,620,620,620,620,620,620,620,620
PUT,/wishlist/ec765d49-581f-487a-8241-fc85752cc974,1,0,55.5598309947527,55.5598309947527,55.5598309947527,55.5598309947527,113.0,0.0017447199799003857,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/wishlist/ec964eea-005d-423a-bb87-1801eca50f1a,1,0,1341.3595070014708,1341.3595070014708,1341.3595070014708,1341.3595070014708,213.0,0.0017447199799003857,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/wishlist/ec964eea-005d-423a-bb87-1801eca50f1a,1,1,128.125691000605,128.125691000605,128.125691000605,128.125691000605,31.0,0.0017447199799003857,0.0017447199799003857,130,130,130,130,130,130,130,130,130,130,130
PUT,/wishlist/ec964eea-005d-423a-bb87-1801eca50f1a,1,0,727.3477009948692,727.3477009948692,727.3477009948692,727.3477009948692,113.0,0.0017447199799003857,0.0,730,730,730,730,730,730,730,730,730,730,730
DELETE,/wishlist/ec97bcf7-79f2-4495-af70-0651f804f1f1,1,0,51.19901899888646,51.19901899888646,51.19901899888646,51.19901899888646,213.0,0.0017447199799003857,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/wishlist/ec97bcf7-79f2-4495-af70-0651f804f1f1,1,0,36.28649899474112,36.28649899474112,36.28649899474112,36.28649899474112,150.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/wishlist/ec97bcf7-79f2-4495-af70-0651f804f1f1,1,0,1008.9515610015951,1008.9515610015951,1008.9515610015951,1008.9515610015951,113.0,0.0017447199799003857,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DELETE,/wishlist/ecead7dc-d118-4746-b5b9-97baa7ad3045,1,0,35.619319001853,35.619319001853,35.619319001853,35.619319001853,213.0,0.0017447199799003857,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/wishlist/ecead7dc-d118-4746-b5b9-97baa7ad3045,1,0,38.409747001423966,38.409747001423966,38.409747001423966,38.409747001423966,150.0,0.0017447199799003857,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,/wishlist/ecead7dc-d118-4746-b5b9-97baa7ad3045,1,0,33.70164299849421,33.70164299849421,33.70164299849421,33.70164299849421,113.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/wishlist/ecf0215a-2eb6-473f-91cc-5a7e408c474b,1,0,38.0335619993275,38.0335619993275,38.0335619993275,38.0335619993275,213.0,0.0017447199799003857,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/wishlist/ecf0215a-2eb6-473f-91cc-5a7e408c474b,1,0,270.7780730052036,270.7780730052036,270.7780730052036,270.7780730052036,150.0,0.0017447199799003857,0.0,270,270,270,270,270,270,270,270,270,270,270
PUT,/wishlist/ecf0215a-2eb6-473f-91cc-5a7e408c474b,1,0,33.26045400172006,33.26045400172006,33.26045400172006,33.26045400172006,113.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,/wishlist/ed0606f7-92d7-40e5-ad1a-c05e3bfd5031,2,1,314.4957069962402,4108.628586000123,314.4957069962402,7902.761465004005,120.0,0.0034894399598007714,0.0017447199799003857,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
GET,/wishlist/ed0606f7-92d7-40e5-ad1a-c05e3bfd5031,2,1,130.0,206.18309099882026,126.30093599727843,286.0652460003621,90.5,0.0034894399598007714,0.0017447199799003857,290,290,290,290,290,290,290,290,290,290,290
PUT,/wishlist/ed0606f7-92d7-40e5-ad1a-c05e3bfd5031,2,0,68.11981599457795,82.30405699941912,68.11981599457795,96.48829800426029,113.0,0.0034894399598007714,0.0,96,96,96,96,96,96,96,96,96,96,96
DELETE,/wishlist/ed0e4451-fcf5-45db-bd61-e3bcefa36034,1,0,496.5838409989374,496.5838409989374,496.5838409989374,496.5838409989374,213.0,0.0017447199799003857,0.0,500,500,500,500,500,500,500,500,500,500,500
GET,/wishlist/ed0e4451-fcf5-45db-bd61-e3bcefa36034,1,0,35.4403370001819,35.4403370001819,35.4403370001819,35.4403370001819,150.0,0.0017447199799003857,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/ed0e4451-fcf5-45db-bd61-e3bcefa36034,1,0,32.2880570020061,32.2880570020061,32.2880570020061,32.2880570020061,113.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/wishlist/ed1f50ad-7b36-44fc-b100-9a25d645f705,1,1,533.8164070053608,533.8164070053608,533.8164070053608,533.8164070053608,167.0,0.0017447199799003857,0.0017447199799003857,530,530,530,530,530,530,530,530,530,530,530
GET,/wishlist/ed1f50ad-7b36-44fc-b100-9a25d645f705,1,1,2402.3353980010143,2402.3353980010143,2402.3353980010143,2402.3353980010143,27.0,0.0017447199799003857,0.0017447199799003857,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
PUT,/wishlist/ed1f50ad-7b36-44fc-b100-9a25d645f705,1,0,91.230051999446,91.230051999446,91.230051999446,91.230051999446,113.0,0.0017447199799003857,0.0,91,91,91,91,91,91,91,91,91,91,91
DELETE,/wishlist/ed37af36-fa39-4425-b74b-9d7080a2c615,1,0,121.09979300294071,121.09979300294071,121.09979300294071,121.09979300294071,213.0,0.0017447199799003857,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/ed37af36-fa39-4425-b74b-9d7080a2c615,1,0,122.22602700057905,122.22602700057905,122.22602700057905,122.22602700057905,150.0,0.0017447199799003857,0.0,120,120,120,120,120,120,120,120,120,120,120
PUT,/wishlist/ed37af36-fa39-4425-b74b-9d7080a2c615,1,0,88.00335200066911,88.00335200066911,88.00335200066911,88.00335200066911,113.0,0.0017447199799003857,0.0,88,88,88,88,88,88,88,88,88,88,88
DELETE,/wishlist/ed42b71a-46e9-412d-921e-e1b4a7f82612,1,0,42.60693299875129,42.60693299875129,42.60693299875129,42.60693299875129,213.0,0.0017447199799003857,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/wishlist/ed42b71a-46e9-412d-921e-e1b4a7f82612,1,0,32.05562299990561,32.05562299990561,32.05562299990561,32.05562299990561,150.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/wishlist/ed42b71a-46e9-412d-921e-e1b4a7f82612,1,0,33.68580299866153,33.68580299866153,33.68580299866153,33.68580299866153,113.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/wishlist/ed44b8e6-ee0c-44fa-8e73-da82f6dbb62a,1,0,82.9401470036828,82.9401470036828,82.9401470036828,82.9401470036828,213.0,0.0017447199799003857,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/wishlist/ed44b8e6-ee0c-44fa-8e73-da82f6dbb62a,1,0,40.19023000000743,40.19023000000743,40.19023000000743,40.19023000000743,150.0,0.0017447199799003857,0.0,40,40,40,40,40,40,40,40,40,40,40
