Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2699,922,550.0,879.8748375206034,18.8561450013367,7669.263233001402,193.39347906632085,4.503034795066198,1.5382727236202427,550,1000,1400,1600,2000,2400,2900,3200,6900,7700,7700
POST,/auth/user/register,2713,597,1100.0,1490.3522701178679,12.59946400023182,9323.951968999609,235.11094729082197,4.526392515381473,0.9960399305870768,1100,1800,2200,2400,3200,3900,5100,5600,7800,9300,9300
GET,/products/product,2696,0,25,29.035269656212414,20.27483200072311,359.70452199762804,264.0,4.498029569284354,0.0,25,26,28,29,35,44,76,120,260,360,360
GET,/wishlist/wishlist,2612,788,140.0,416.89282906316447,29.667192000488285,6917.381279999972,149.31508422664623,4.357883247392705,1.3147059720311836,140,340,540,670,1200,1600,2600,3100,5400,6900,6900
POST,/wishlist/wishlist,2619,775,150.0,434.9610796383862,27.528378999704728,8635.551255996688,152.32722413134783,4.369562107550342,1.293016660309857,150,350,550,700,1200,1700,2500,3100,6600,8600,8600
DELETE,/wishlist/wishlist/00046f3d-b25e-495a-8691-9048ad2451d3,1,0,34.61280600095051,34.61280600095051,34.61280600095051,34.61280600095051,213.0,0.0016684085939482024,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/wishlist/wishlist/00046f3d-b25e-495a-8691-9048ad2451d3,1,0,32.61128899976029,32.61128899976029,32.61128899976029,32.61128899976029,150.0,0.0016684085939482024,0.0,33,33,33,33,33,33,33,33,33,33,33
PUT,/wishlist/wishlist/00046f3d-b25e-495a-8691-9048ad2451d3,1,0,30.181517999153584,30.181517999153584,30.181517999153584,30.181517999153584,113.0,0.0016684085939482024,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/wishlist/wishlist/001b5685-bb0f-4a4e-96d4-61c5a942e44f,1,1,1091.4950679980393,1091.4950679980393,1091.4950679980393,1091.4950679980393,27.0,0.0016684085939482024,0.0016684085939482024,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/wishlist/wishlist/001b5685-bb0f-4a4e-96d4-61c5a942e44f,1,0,64.47433599896613,64.47433599896613,64.47433599896613,64.47433599896613,150.0,0.0016684085939482024,0.0,64,64,64,64,64,64,64,64,64,64,64
PUT,/wishlist/wishlist/001b5685-bb0f-4a4e-96d4-61c5a942e44f,1,0,33.55532400019001,33.55532400019001,33.55532400019001,33.55532400019001,113.0,0.0016684085939482024,0.0,34,34,34,34,34,34,34,34,34,34,34
DELETE,/wishlist/wishlist/0050d321-5629-4053-a0e1-5ac97f3b2ddd,2,1,48.101436001161346,57.71708050087909,48.101436001161346,67.33272500059684,122.5,0.0033368171878964048,0.0016684085939482024,67,67,67,67,67,67,67,67,67,67,67
GET,/wishlist/wishlist/0050d321-5629-4053-a0e1-5ac97f3b2ddd,2,2,76,299.74523249984486,75.54263900237856,523.9478259973112,31.0,0.0033368171878964048,0.0033368171878964048,520,520,520,520,520,520,520,520,520,520,520
PUT,/wishlist/wishlist/0050d321-5629-4053-a0e1-5ac97f3b2ddd,2,1,32,85.09754250007973,31.682778000686085,138.51230699947337,70.0,0.0033368171878964048,0.0016684085939482024,140,140,140,140,140,140,140,140,140,140,140
DELETE,/wishlist/wishlist/00cd162e-ac21-4f57-b0fe-09ba74f31a23,1,0,32.82967500126688,32.82967500126688,32.82967500126688,32.82967500126688,213.0,0.0016684085939482024,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/wishlist/wishlist/00cd162e-ac21-4f57-b0fe-09ba74f31a23,1,0,37.75661200052127,37.75661200052127,37.75661200052127,37.75661200052127,150.0,0.0016684085939482024,0.0,38,38,38,38,38,38,38,38,38,38,38
PUT,/wishlist/wishlist/00cd162e-ac21-4f57-b0fe-09ba74f31a23,1,0,95.55310799987637,95.55310799987637,95.55310799987637,95.55310799987637,113.0,0.0016684085939482024,0.0,96,96,96,96,96,96,96,96,96,96,96
DELETE,/wishlist/wishlist/00d79b00-24be-4f53-8846-838febe5478d,1,1,1787.3018699974637,1787.3018699974637,1787.3018699974637,1787.3018699974637,27.0,0.0016684085939482024,0.0016684085939482024,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/wishlist/wishlist/00d79b00-24be-4f53-8846-838febe5478d,1,0,643.6799539987987,643.6799539987987,643.6799539987987,643.6799539987987,150.0,0.0016684085939482024,0.0,640,640,640,640,640,640,640,640,640,640,640
PUT,/wishlist/wishlist/00d79b00-24be-4f53-8846-838febe5478d,1,1,2205.844109001191,2205.844109001191,2205.844109001191,2205.844109001191,27.0,0.0016684085939482024,0.0016684085939482024,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
DELETE,/wishlist/wishlist/01083f5d-2a05-4103-9538-10f37ac66786,1,0,43.880283999897074,43.880283999897074,43.880283999897074,43.880283999897074,213.0,0.0016684085939482024,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/wishlist/wishlist/01083f5d-2a05-4103-9538-10f37ac66786,1,0,74.26599599784822,74.26599599784822,74.26599599784822,74.26599599784822,150.0,0.0016684085939482024,0.0,74,74,74,74,74,74,74,74,74,74,74
PUT,/wishlist/wishlist/01083f5d-2a05-4103-9538-10f37ac66786,1,0,30.32202100075665,30.32202100075665,30.32202100075665,30.32202100075665,113.0,0.0016684085939482024,0.0,30,30,30,30,30,30,30,30,30,30,30
DELETE,/wishlist/wishlist/010b9ff3-1515-4d83-9414-830feefe4adf,1,0,88.84711100108689,88.84711100108689,88.84711100108689,88.84711100108689,213.0,0.0016684085939482024,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/wishlist/wishlist/010b9ff3-1515-4d83-9414-830feefe4adf,1,0,45.88398399937432,45.88398399937432,45.88398399937432,45.88398399937432,150.0,0.0016684085939482024,0.0,46,46,46,46,46,46,46,46,46,46,46
PUT,/wishlist/wishlist/010b9ff3-1515-4d83-9414-830feefe4adf,1,0,33.04473100070027,33.04473100070027,33.04473100070027,33.04473100070027,113.0,0.0016684085939482024,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/wishlist/wishlist/0127b686-6d55-47bc-aa6a-89a68c63ed97,1,0,34.51723399848561,34.51723399848561,34.51723399848561,34.51723399848561,150.0,0.0016684085939482024,0.0,35,35,35,35,35,35,35,35,35,35,35
PUT,/wishlist/wishlist/0127b686-6d55-47bc-aa6a-89a68c63ed97,1,0,192.21871300032944,192.21871300032944,192.21871300032944,192.21871300032944,113.0,0.0016684085939482024,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/wishlist/wishlist/016b97bc-f269-480a-954e-6d6364cc15c7,1,1,610.9687029966153,610.9687029966153,610.9687029966153,610.9687029966153,27.0,0.0016684085939482024,0.0016684085939482024,610,610,610,610,610,610,610,610,610,610,610
GET,/wishlist/wishlist/016b97bc-f269-480a-954e-6d6364cc15c7,1,1,445.32430799881695,445.32430799881695,445.32430799881695,445.32430799881695,27.0,0.0016684085939482024,0.0016684085939482024,450,450,450,450,450,450,450,450,450,450,450
PUT,/wishlist/wishlist/016b97bc-f269-480a-954e-6d6364cc15c7,1,1,566.5041569991445,566.5041569991445,566.5041569991445,566.5041569991445,27.0,0.0016684085939482024,0.0016684085939482024,570,570,570,570,570,570,570,570,570,570,570
DELETE,/wishlist/wishlist/01857918-3439-4c40-9d23-2ea941d56546,2,2,200.0,262.41175749964896,199.38032400023076,325.44319099906716,97.0,0.0033368171878964048,0.0033368171878964048,330,330,330,330,330,330,330,330,330,330,330
GET,/wishlist/wishlist/01857918-3439-4c40-9d23-2ea941d56546,2,2,3243.3740199994645,4331.345068500013,3243.3740199994645,5419.316117000562,27.0,0.0033368171878964048,0.0033368171878964048,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
