Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2793,1109,480.0,783.9821381263698,21.143023997865384,8115.38137000025,180.91514500537056,4.65769457640676,1.8494032528589677,480,840,1200,1400,1900,2300,2800,3200,4700,8100,8100
POST,/auth/user/register,2803,704,1000.0,1433.9949569850053,10.558918998867739,8953.343474000576,227.7991437745273,4.674370890679609,1.1740125248085782,1000,1700,2100,2400,3200,3800,4600,5400,7600,9000,9000
GET,/products/product,2793,0,25,29.522059578603795,20.146729999396484,283.28327600320335,264.0,4.65769457640676,0.0,25,27,28,30,36,45,76,150,260,280,280
GET,/wishlist/wishlist,2688,994,120.0,361.01441676524195,28.592194001248572,8386.128853999253,126.69010416666667,4.482593276541844,1.6576256387212027,120,290,480,640,1100,1400,1900,2300,3600,8400,8400
POST,/wishlist/wishlist,2703,1010,140.0,377.4676223599623,28.65522700085421,5137.366674000077,138.48871624121347,4.507607747951118,1.6843077415577614,140,320,520,670,1100,1500,1900,2300,4500,5100,5100
DELETE,/wishlist/wishlist/0052ebab-dfa4-4a93-8559-d56ca6ebef90,1,0,33.596569999645,33.596569999645,33.596569999645,33.596569999645,213.0,0.0016676314272849122,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/wishlist/wishlist/0052ebab-dfa4-4a93-8559-d56ca6ebef90,1,0,63.245697998354444,63.245697998354444,63.245697998354444,63.245697998354444,150.0,0.0016676314272849122,0.0,63,63,63,63,63,63,63,63,63,63,63
PUT,/wishlist/wishlist/0052ebab-dfa4-4a93-8559-d56ca6ebef90,1,0,35.292672997456975,35.292672997456975,35.292672997456975,35.292672997456975,113.0,0.0016676314272849122,0.0,35,35,35,35,35,35,35,35,35,35,35
DELETE,/wishlist/wishlist/006fdfdf-385a-42f0-b721-2955c835ee5a,1,0,39.87494800094282,39.87494800094282,39.87494800094282,39.87494800094282,213.0,0.0016676314272849122,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/wishlist/wishlist/006fdfdf-385a-42f0-b721-2955c835ee5a,1,0,38.816074000351364,38.816074000351364,38.816074000351364,38.816074000351364,150.0,0.0016676314272849122,0.0,39,39,39,39,39,39,39,39,39,39,39
PUT,/wishlist/wishlist/006fdfdf-385a-42f0-b721-2955c835ee5a,1,0,111.21007299880148,111.21007299880148,111.21007299880148,111.21007299880148,113.0,0.0016676314272849122,0.0,110,110,110,110,110,110,110,110,110,110,110
DELETE,/wishlist/wishlist/009d0579-5b29-4cf5-b5c8-3a82d08b8690,1,0,95.22072999970987,95.22072999970987,95.22072999970987,95.22072999970987,213.0,0.0016676314272849122,0.0,95,95,95,95,95,95,95,95,95,95,95
GET,/wishlist/wishlist/009d0579-5b29-4cf5-b5c8-3a82d08b8690,1,0,75.27791999746114,75.27791999746114,75.27791999746114,75.27791999746114,150.0,0.0016676314272849122,0.0,75,75,75,75,75,75,75,75,75,75,75
PUT,/wishlist/wishlist/009d0579-5b29-4cf5-b5c8-3a82d08b8690,1,0,31.31444599785027,31.31444599785027,31.31444599785027,31.31444599785027,113.0,0.0016676314272849122,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/wishlist/wishlist/00c938f5-85e4-44de-a2cd-8c3007b9d434,1,0,30.830001000140328,30.830001000140328,30.830001000140328,30.830001000140328,213.0,0.0016676314272849122,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/wishlist/wishlist/00c938f5-85e4-44de-a2cd-8c3007b9d434,1,0,101.18942199915182,101.18942199915182,101.18942199915182,101.18942199915182,150.0,0.0016676314272849122,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/wishlist/wishlist/00c938f5-85e4-44de-a2cd-8c3007b9d434,1,0,30.90710999822477,30.90710999822477,30.90710999822477,30.90710999822477,113.0,0.0016676314272849122,0.0,31,31,31,31,31,31,31,31,31,31,31
DELETE,/wishlist/wishlist/00d2da67-2643-434d-87b8-9afcd6dc75b1,1,1,697.8349900018657,697.8349900018657,697.8349900018657,697.8349900018657,27.0,0.0016676314272849122,0.0016676314272849122,700,700,700,700,700,700,700,700,700,700,700
GET,/wishlist/wishlist/00d2da67-2643-434d-87b8-9afcd6dc75b1,1,1,788.0504590029886,788.0504590029886,788.0504590029886,788.0504590029886,27.0,0.0016676314272849122,0.0016676314272849122,790,790,790,790,790,790,790,790,790,790,790
PUT,/wishlist/wishlist/00d2da67-2643-434d-87b8-9afcd6dc75b1,1,0,284.2986040013784,284.2986040013784,284.2986040013784,284.2986040013784,113.0,0.0016676314272849122,0.0,280,280,280,280,280,280,280,280,280,280,280
DELETE,/wishlist/wishlist/0109a29f-0e7b-41aa-8838-e7ba17feb0bb,1,1,235.0856400007615,235.0856400007615,235.0856400007615,235.0856400007615,167.0,0.0016676314272849122,0.0016676314272849122,240,240,240,240,240,240,240,240,240,240,240
GET,/wishlist/wishlist/0109a29f-0e7b-41aa-8838-e7ba17feb0bb,1,1,43.76119700100389,43.76119700100389,43.76119700100389,43.76119700100389,27.0,0.0016676314272849122,0.0016676314272849122,44,44,44,44,44,44,44,44,44,44,44
PUT,/wishlist/wishlist/0109a29f-0e7b-41aa-8838-e7ba17feb0bb,1,0,148.09483900171472,148.09483900171472,148.09483900171472,148.09483900171472,113.0,0.0016676314272849122,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/wishlist/wishlist/012532c6-6fec-40b6-912c-0e47fae153b0,1,1,29.88367299985839,29.88367299985839,29.88367299985839,29.88367299985839,167.0,0.0016676314272849122,0.0016676314272849122,30,30,30,30,30,30,30,30,30,30,30
GET,/wishlist/wishlist/012532c6-6fec-40b6-912c-0e47fae153b0,1,1,675.4912819997116,675.4912819997116,675.4912819997116,675.4912819997116,27.0,0.0016676314272849122,0.0016676314272849122,680,680,680,680,680,680,680,680,680,680,680
PUT,/wishlist/wishlist/012532c6-6fec-40b6-912c-0e47fae153b0,1,0,199.23869999911403,199.23869999911403,199.23869999911403,199.23869999911403,113.0,0.0016676314272849122,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/wishlist/wishlist/0130706a-7508-4d36-89b2-96b929536d79,1,1,49.99211699760053,49.99211699760053,49.99211699760053,49.99211699760053,167.0,0.0016676314272849122,0.0016676314272849122,50,50,50,50,50,50,50,50,50,50,50
GET,/wishlist/wishlist/0130706a-7508-4d36-89b2-96b929536d79,1,1,1043.413095001597,1043.413095001597,1043.413095001597,1043.413095001597,27.0,0.0016676314272849122,0.0016676314272849122,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PUT,/wishlist/wishlist/0130706a-7508-4d36-89b2-96b929536d79,1,1,445.5571600010444,445.5571600010444,445.5571600010444,445.5571600010444,27.0,0.0016676314272849122,0.0016676314272849122,450,450,450,450,450,450,450,450,450,450,450
DELETE,/wishlist/wishlist/01607c2b-d067-4a72-aa8c-ead763e4958a,1,1,875.8505549994879,875.8505549994879,875.8505549994879,875.8505549994879,27.0,0.0016676314272849122,0.0016676314272849122,880,880,880,880,880,880,880,880,880,880,880
GET,/wishlist/wishlist/01607c2b-d067-4a72-aa8c-ead763e4958a,1,1,446.809357003076,446.809357003076,446.809357003076,446.809357003076,27.0,0.0016676314272849122,0.0016676314272849122,450,450,450,450,450,450,450,450,450,450,450
PUT,/wishlist/wishlist/01607c2b-d067-4a72-aa8c-ead763e4958a,1,0,1564.9202210006479,1564.9202210006479,1564.9202210006479,1564.9202210006479,113.0,0.0016676314272849122,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
DELETE,/wishlist/wishlist/0177d1dc-bfc1-40a9-a740-b260b575f818,1,0,38.05216899854713,38.05216899854713,38.05216899854713,38.05216899854713,213.0,0.0016676314272849122,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/wishlist/wishlist/0177d1dc-bfc1-40a9-a740-b260b575f818,1,0,36.307951999333454,36.307951999333454,36.307951999333454,36.307951999333454,150.0,0.0016676314272849122,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/wishlist/wishlist/0177d1dc-bfc1-40a9-a740-b260b575f818,1,0,34.52551199734444,34.52551199734444,34.52551199734444,34.52551199734444,113.0,0.0016676314272849122,0.0,35,35,35,35,35,35,35,35,35,35,35
DELETE,/wishlist/wishlist/01a361fc-17da-4b26-8e29-8097a7b58a85,1,0,119.28561700187856,119.28561700187856,119.28561700187856,119.28561700187856,213.0,0.0016676314272849122,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/wishlist/wishlist/01a361fc-17da-4b26-8e29-8097a7b58a85,1,0,46.29692899834481,46.29692899834481,46.29692899834481,46.29692899834481,150.0,0.0016676314272849122,0.0,46,46,46,46,46,46,46,46,46,46,46
PUT,/wishlist/wishlist/01a361fc-17da-4b26-8e29-8097a7b58a85,1,0,41.368923000845825,41.368923000845825,41.368923000845825,41.368923000845825,113.0,0.0016676314272849122,0.0,41,41,41,41,41,41,41,41,41,41,41
DELETE,/wishlist/wishlist/01aa774a-74ad-462b-9cf4-33aa365fa6ef,1,0,42.74976499800687,42.74976499800687,42.74976499800687,42.74976499800687,213.0,0.0016676314272849122,0.0,43,43,43,43,43,43,43,43,43,43,43
